model,best_params,val_auc,test_auc_roc,test_accuracy,test_precision,test_recall,test_f1
XGBoost,"{'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.05}",0.7758683137154856,0.7879503395461848,0.7635,0.4749727965179543,0.6578749058025621,0.5516587677725119
Random Forest,"{'n_estimators': 400, 'max_depth': 10}",0.7775036763810639,0.7827252743921171,0.776,0.4947692307692308,0.6058779201205727,0.5447154471544715
Neural Network,"{'hidden_layer_sizes': (32,), 'alpha': 0.001}",0.7666890122690097,0.7781753345510799,0.7475,0.45119418483904467,0.6548605877920121,0.5342760528742699
Logistic Regression,{'C': 10.0},0.7223181285942379,0.7445914584754795,0.7328333333333333,0.43154761904761907,0.6556141672946496,0.5204905773257553
